agent,operation,date,amount
1,recovery,2025-01-02,37.19
6,reserve,2025-01-02,41.67
10,reserve,2025-01-02,79.02
6,reserve,2025-01-03,92.11
1,reserve,2025-01-04,70.76
2,adjust,2025-01-05,87.08
6,recovery,2025-01-06,71.61
8,adjust,2025-01-06,53.69
2,reserve,2025-01-07,60.61
4,reserve,2025-01-07,39.31
10,recovery,2025-01-08,65.76
1,recovery,2025-01-08,31.72
2,reserve,2025-01-08,75.45
9,reserve,2025-01-08,94.24
9,deductible,2025-01-09,53.14
8,adjust,2025-01-09,91.4
10,deductible,2025-01-10,85.04
6,adjust,2025-01-10,78.43
1,reserve,2025-01-11,70.28
6,deductible,2025-01-11,23.22
5,deductible,2025-01-11,23.3
4,deductible,2025-01-12,24.5
5,deductible,2025-01-13,93
9,reserve,2025-01-13,42.11
7,adjust,2025-01-14,43.86
10,reserve,2025-01-15,42.26
10,reserve,2025-01-15,53.86
5,recovery,2025-01-15,53.5
7,reserve,2025-01-15,77.28
8,adjust,2025-01-16,26.76
6,reserve,2025-01-17,87.93
1,reserve,2025-01-17,87.95
6,reserve,2025-01-17,90.84
9,reserve,2025-01-18,83.34
8,reserve,2025-01-19,94.27
8,reserve,2025-01-19,65.72
8,reserve,2025-01-20,75.33
9,reserve,2025-01-21,29.57
10,reserve,2025-01-22,88.35
4,reserve,2025-01-23,58.22
3,reserve,2025-01-24,30.59
3,reserve,2025-01-24,3069.98
5,recovery,2025-01-25,58.05
9,reserve,2025-01-25,55.31
10,reserve,2025-01-26,54.79
6,reserve,2025-01-26,36.04
3,reserve,2025-01-27,72.78
2,reserve,2025-01-27,60.04
6,reserve,2025-01-28,41.98
10,deductible,2025-01-28,94.31
2,reserve,2025-01-29,67.81
8,deductible,2025-01-30,42.25
4,adjust,2025-01-30,75.17
2,reserve,2025-01-30,51.9
3,recovery,2025-01-31,66.28
4,reserve,2025-01-31,66.51
5,adjust,2025-02-01,20.1
7,reserve,2025-02-01,33.9
3,reserve,2025-02-02,54.99
3,reserve,2025-02-03,24.21
10,reserve,2025-02-03,33.08
3,adjust,2025-02-03,36.93
7,deductible,2025-02-04,97.28
5,reserve,2025-02-04,35.91
9,recovery,2025-02-05,31.28
7,deductible,2025-02-06,82.57
1,recovery,2025-02-07,80.6
4,reserve,2025-02-07,77.99
1,adjust,2025-02-08,34.59
9,deductible,2025-02-09,87.65
1,reserve,2025-02-09,80.01
3,reserve,2025-02-10,15.12
5,deductible,2025-02-11,54.7
6,reserve,2025-02-12,34.66
2,reserve,2025-02-12,45.18
9,adjust,2025-02-13,50.77
10,reserve,2025-02-14,88.7
6,reserve,2025-02-15,22.15
5,reserve,2025-02-15,34.13
4,reserve,2025-02-15,51.79
9,reserve,2025-02-15,96.52
4,reserve,2025-02-15,74.97
10,recovery,2025-02-15,87.24
4,reserve,2025-02-15,25.26
7,reserve,2025-02-16,80.15
4,adjust,2025-02-16,16.06
5,deductible,2025-02-17,38.57
1,reserve,2025-02-17,75.37
4,deductible,2025-02-17,44.39
2,deductible,2025-02-18,18.32
3,reserve,2025-02-19,37.85
4,reserve,2025-02-20,69.07
8,reserve,2025-02-21,89.87
4,reserve,2025-02-22,46.67
4,deductible,2025-02-22,99.55
5,reserve,2025-02-23,63.06
2,recovery,2025-02-23,49.2
1,reserve,2025-02-24,24.29
2,adjust,2025-02-25,58.19
2,reserve,2025-02-25,27.21
10,adjust,2025-02-26,89.18
8,adjust,2025-02-27,74.49
7,reserve,2025-02-27,94.37
8,reserve,2025-02-28,97.73
10,reserve,2025-02-28,54.5
3,reserve,2025-03-01,16
1,reserve,2025-03-01,60.96
8,reserve,2025-03-02,49.79
9,recovery,2025-03-03,99.35
7,reserve,2025-03-03,92.71
5,deductible,2025-03-04,66.28
3,deductible,2025-03-04,35.54
6,reserve,2025-03-05,41.55
4,reserve,2025-03-06,29.85
5,reserve,2025-03-07,48.3
9,adjust,2025-03-08,41.86
10,adjust,2025-03-08,79.98
4,reserve,2025-03-09,50.34
1,recovery,2025-03-10,50.6
4,recovery,2025-03-10,38.66
3,reserve,2025-03-11,66.61
5,reserve,2025-03-12,71.67
9,reserve,2025-03-13,43.35
6,reserve,2025-03-13,21.27
1,reserve,2025-03-13,33.54
8,reserve,2025-03-13,78.75
9,reserve,2025-03-14,76.91
7,reserve,2025-03-15,27.01
2,reserve,2025-03-15,48.51
10,deductible,2025-03-15,89.77
7,adjust,2025-03-16,24.58
5,adjust,2025-03-17,36.27
3,adjust,2025-03-17,28.73
3,recovery,2025-03-17,15.4
2,reserve,2025-03-18,61.29
4,reserve,2025-03-18,80.29
8,reserve,2025-03-19,78.1
3,reserve,2025-03-20,59.45
3,reserve,2025-03-21,77.38
7,reserve,2025-03-22,2098.87
4,adjust,2025-03-22,21.13
3,reserve,2025-03-23,62.86
8,deductible,2025-03-24,36.42
5,reserve,2025-03-24,53.49
