agent,operation,date,amount
6,renewal,2025-01-01,41.78
4,renewal,2025-01-01,39.69
10,renewal,2025-01-01,42.91
9,cancellation,2025-01-01,97.57
9,endorsement,2025-01-01,66.27
5,issuance,2025-01-01,93.01
2,issuance,2025-01-02,91.02
9,renewal,2025-01-03,40.73
10,renewal,2025-01-03,20.83
4,renewal,2025-01-04,58.13
6,issuance,2025-01-04,78.81
2,issuance,2025-01-04,21.92
4,issuance,2025-01-05,90.46
2,renewal,2025-01-05,55.78
9,renewal,2025-01-05,83.48
10,issuance,2025-01-05,42.24
9,issuance,2025-01-05,66.09
2,renewal,2025-01-05,70.28
9,issuance,2025-01-05,86.34
5,renewal,2025-01-05,77.97
6,issuance,2025-01-05,24.67
4,endorsement,2025-01-05,27.78
2,renewal,2025-01-06,92.07
4,renewal,2025-01-07,42.84
8,renewal,2025-01-07,72.19
2,renewal,2025-01-08,52.77
1,renewal,2025-01-09,21
10,issuance,2025-01-09,44.68
8,renewal,2025-01-09,71.26
4,renewal,2025-01-09,18.23
4,issuance,2025-01-10,82.46
4,renewal,2025-01-10,19.9
7,cancelation,2025-01-10,56.33
10,issuance,2025-01-10,58
5,renewal,2025-01-10,84.79
1,renewal,2025-01-11,35.01
2,cancellation,2025-01-11,96.63
3,renewal,2025-01-11,96.31
8,issuance,2025-01-12,30.94
2,issuance,2025-01-12,79.25
8,issuance,2025-01-12,96.03
3,issuance,2025-01-12,54.18
4,endorsement,2025-01-12,76.1
9,renewal,2025-01-12,90.91
1,issuance,2025-01-12,68.42
10,endorsement,2025-01-12,82.64
5,issuance,2025-01-13,78.68
9,cancellation,2025-01-13,99.07
4,issuance,2025-01-13,60.46
4,issuance,2025-01-13,20.26
9,cancellation,2025-01-14,86.53
9,renewal,2025-01-14,61.62
6,issuance,2025-01-14,17.04
5,issuance,2025-01-14,40.29
10,renewal,2025-01-14,70.86
1,renewal,2025-01-14,78.95
6,renewal,2025-01-15,28.33
7,issuance,2025-01-16,43.38
4,issuance,2025-01-16,41.75
4,issuance,2025-01-16,98.61
5,issuance,2025-01-16,46.13
3,issuance,2025-01-16,48.99
5,issuance,2025-01-16,56.85
5,renewal,2025-01-16,53.31
9,renewal,2025-01-16,36.64
4,issuance,2025-01-16,64.59
1,endorsement,2025-01-16,43.1
10,cancellation,2025-01-16,17.31
3,issuance,2025-01-16,55.38
6,issuance,2025-01-16,93.8
5,issuance,2025-01-16,21.63
2,renewal,2025-01-16,67.39
10,issuance,2025-01-17,95.91
8,renewal,2025-01-17,67.11
9,issuance,2025-01-17,66.11
4,renewal,2025-01-17,32.31
10,renewal,2025-01-17,47.23
4,renewal,2025-01-17,94.58
2,issuance,2025-01-17,88.8
1,endorsement,2025-01-17,64.57
4,renewal,2025-01-17,37.54
5,issuance,2025-01-17,38.66
5,endorsement,2025-01-17,98.64
